0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,
26,16,26,16,26,16,26,16,26,16,26,16,26,16,26,
0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,
26,16,26,16,26,16,26,16,26,16,26,16,26,16,26,
0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,
26,16,26,16,26,16,26,16,26,16,26,16,26,16,26,
0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,
26,16,26,16,26,16,26,16,26,16,26,16,26,16,26,
0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,
26,16,26,16,26,16,26,16,26,16,26,16,26,16,26,
0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,
26,16,26,16,26,16,26,16,26,16,26,16,26,16,26,
0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,
26,16,26,16,26,16,26,16,26,16,26,16,26,16,26,
0,16,0,16,0,16,0,16,0,16,0,16,0,16,0
