16,16,16,16,16,16,16,20,0,17,16,16,16,16,16,
16,16,16,16,16,16,16,20,0,17,16,16,16,16,16,
16,16,16,24,24,24,24,20,0,25,24,24,16,16,16,
16,16,20,0,0,0,0,21,0,0,0,0,17,16,16,
24,24,28,0,19,18,18,16,18,18,22,0,17,16,16,
0,0,0,0,17,16,16,16,16,16,20,0,17,16,16,
18,18,22,0,17,16,16,16,16,16,20,0,17,16,16,
16,16,16,26,16,16,16,16,16,16,16,26,16,16,16,
16,16,20,0,17,16,16,16,16,16,20,0,17,16,16,
16,16,20,0,17,16,16,16,16,16,20,0,25,24,24,
16,16,20,0,25,24,24,16,24,24,28,0,0,0,0,
16,16,20,0,0,0,0,21,0,0,0,0,19,18,18,
16,16,16,18,22,0,19,16,18,18,18,18,16,16,16,
16,16,16,16,20,0,17,16,16,16,16,16,16,16,16,
16,16,16,16,20,0,17,16,16,16,16,16,16,16,16
