16,16,28,0,17,16,16,16,16,28,0,17,16,16,16,
16,28,0,0,17,16,16,16,28,0,0,17,16,16,16,
28,0,0,19,16,16,16,28,0,0,19,16,16,16,16,
0,0,19,16,16,16,28,0,0,19,16,16,16,16,16,
0,19,16,16,16,28,0,0,19,16,16,16,16,16,16,
18,16,16,16,28,0,0,19,16,16,16,16,16,16,16,
16,16,16,28,0,0,19,16,16,16,16,16,16,16,24,
16,16,28,0,0,19,16,16,16,16,16,16,16,28,0,
16,28,0,0,19,16,16,16,16,16,16,16,28,0,0,
28,0,0,19,16,16,16,16,16,16,16,28,0,0,19,
0,0,19,16,16,16,16,16,16,16,28,0,0,19,16,
0,19,16,16,16,16,16,16,16,28,0,0,19,16,16,
18,16,16,16,16,16,16,16,28,0,0,19,16,16,16,
16,16,16,16,16,16,16,20,0,0,19,16,16,16,16,
16,16,16,16,16,16,16,20,0,19,16,16,16,16,16
